,GameID,Game.AwayTeamStartingPitcherID,Game.HomeTeamStartingPitcherID,Game.PointSpread,Game.OverUnder,Game.AwayTeamMoneyLine,Game.HomeTeamMoneyLine
2,53584.0,10005913.0,10000193.0,-1.5,7.0,109.0,-119.0
3,50875.0,10001303.0,10000848.0,-1.5,9.0,147.0,-157.0
4,50881.0,10002046.0,10000613.0,-1.5,8.5,155.0,-165.0
5,50876.0,10000794.0,10001904.0,1.5,9.0,-105.0,-105.0
6,50880.0,10007434.0,10000001.0,-1.5,9.0,170.0,-180.0
7,50874.0,10000155.0,10000573.0,1.5,8.5,-105.0,-105.0
8,50879.0,10000986.0,10000184.0,1.5,7.0,-117.0,107.0
0,53568.0,10000189.0,10005327.0,1.5,8.0,-107.0,-103.0
1,50895.0,10001031.0,10005322.0,-1.5,8.5,100.0,-110.0
2,50887.0,10000805.0,10002098.0,1.5,7.5,-137.0,127.0
3,50884.0,10000432.0,10000519.0,1.5,8.5,-255.0,235.0
4,50886.0,10001065.0,10000060.0,-1.5,9.5,113.0,-123.0
5,50882.0,10000328.0,10000095.0,1.5,7.5,-120.0,110.0
6,50890.0,10001154.0,10001187.0,-1.5,7.5,117.0,-127.0
7,50894.0,10003206.0,10001161.0,-1.5,8.5,185.0,-200.0
8,50889.0,10003212.0,10002058.0,-1.5,9.5,-102.0,-108.0
9,53569.0,10007266.0,10001299.0,1.5,8.0,-105.0,-105.0
10,50893.0,10008547.0,10000371.0,-1.5,9.0,145.0,-155.0
11,50888.0,10000426.0,10000618.0,-1.5,6.0,135.0,-145.0
12,50885.0,10001290.0,10000886.0,-1.5,8.5,175.0,-185.0
13,50883.0,10000250.0,10000555.0,-1.5,8.5,140.0,-150.0
14,50891.0,10000843.0,10006255.0,-1.5,8.0,-101.0,-109.0
15,50896.0,10000895.0,10000885.0,1.5,9.0,-138.0,128.0
0,50897.0,10005311.0,10000113.0,1.5,9.5,-195.0,183.0
1,50907.0,10000276.0,10001157.0,-1.5,8.5,200.0,-220.0
2,50906.0,10000506.0,10000694.0,-1.5,8.5,-103.0,-107.0
3,50900.0,10001305.0,10006466.0,-1.5,8.5,149.0,-159.0
4,50908.0,10005587.0,10005232.0,-1.5,8.0,163.0,-173.0
5,50905.0,10000746.0,10005315.0,-1.5,7.5,115.0,-125.0
6,50910.0,10001629.0,10005234.0,-1.5,8.0,154.0,-164.0
7,50902.0,10000787.0,10000066.0,1.5,8.5,-158.0,148.0
8,50899.0,10000469.0,10005879.0,1.5,9.0,-205.0,188.0
9,50901.0,10001072.0,10000786.0,1.5,9.0,-168.0,158.0
10,50904.0,10001234.0,10000364.0,1.5,9.5,-124.0,114.0
11,50909.0,10003284.0,10006824.0,-1.5,9.0,183.0,-195.0
12,50903.0,10001350.0,10000628.0,1.5,7.0,-113.0,103.0
13,50898.0,10001243.0,10000564.0,-1.5,9.5,200.0,-220.0
14,50911.0,10000249.0,10002091.0,1.5,7.5,-160.0,150.0
0,50917.0,10000807.0,10000466.0,-1.5,8.5,124.0,-134.0
1,50914.0,10003360.0,10006183.0,1.5,8.0,-190.0,180.0
2,50916.0,10001073.0,10001253.0,1.5,9.5,-112.0,102.0
3,50912.0,10000335.0,10001017.0,1.5,7.5,-255.0,235.0
4,50920.0,10000748.0,10008561.0,-1.5,9.0,105.0,-115.0
5,50924.0,10007245.0,10001250.0,-1.5,7.5,139.0,-149.0
6,50921.0,10006766.0,10000977.0,-1.5,9.0,165.0,-175.0
7,50923.0,10007391.0,10003142.0,-1.5,9.0,173.0,-183.0
8,50915.0,10001150.0,10002077.0,-1.5,8.5,220.0,-240.0
9,50922.0,10002066.0,10006571.0,-1.5,8.0,153.0,-163.0
10,50919.0,10000247.0,10005351.0,1.5,10.5,-112.0,102.0
11,50926.0,10007081.0,10000007.0,-1.5,7.0,132.0,-142.0
12,50913.0,10000282.0,10007263.0,-1.5,9.0,104.0,-114.0
13,50925.0,10000421.0,10006438.0,1.5,8.5,-128.0,118.0
14,50918.0,10000012.0,10000071.0,-1.5,8.0,187.0,-195.0
0,50931.0,10000466.0,10005294.0,1.5,8.5,-119.0,109.0
1,50928.0,10000291.0,10005848.0,1.5,9.5,-146.0,136.0
2,50930.0,10000004.0,10001202.0,1.5,10.0,-120.0,110.0
3,50927.0,10000330.0,10000101.0,1.5,8.0,-170.0,160.0
4,50935.0,10000569.0,10000970.0,-1.5,8.5,183.0,-195.0
5,50934.0,10000842.0,10000367.0,-1.5,11.5,170.0,-180.0
6,50933.0,10001337.0,10001986.0,1.5,8.0,-109.0,-101.0
