idfangraphs,mlbid,Name,Year,Team,Age,ERA,WHIP,W,L,W%,G,GS,CG,SHO,IP,H,ER,HR,BB,SO,SO%,BB%,R
2520,458681,Lance Lynn,2022,CHW,35,3.52,1.11,12,8,0.6,30,30,1,0,174,140,68,23,53,184,25.80%,7.70%,75
19447,663776,Patrick Sandoval,2022,LAA,26,3.85,1.21,6,11,0.35,25,25,0,0,146,123,62,21,54,158,25.70%,8.90%,68
16137,607074,Carlos Rodon,2022,SFG,30,3.65,1.14,12,9,0.57,24,24,1,1,138,112,56,18,45,146,25.50%,7.80%,62
22267,669373,Tarik Skubal,2022,DET,26,4.02,1.23,8,12,0.4,30,30,0,0,170,152,76,30,57,183,25.40%,7.80%,84
26410,666201,Alek Manoah,2022,TOR,29,3.71,1.18,9,5,0.64,28,28,0,0,165,133,68,15,62,175,25.30%,8.50%,75
14309,593423,Frankie Montas,2022,OAK,29,3.65,1.22,12,10,0.55,31,31,0,0,185,165,75,22,61,196,25.10%,8.00%,83
17859,640470,Adbert Alzolay,2022,CHC,27,4.26,1.24,3,5,0.38,27,27,0,0,152,134,72,9,54,161,25.00%,7.50%,79
23735,677651,Luis Garcia,2022,HOU,26,4.15,1.24,8,7,0.53,30,30,0,0,168,149,77,15,59,177,24.80%,8.10%,85
19951,666120,Ian Anderson,2022,ATL,24,3.65,1.21,10,7,0.59,28,28,0,0,160,131,65,16,63,167,24.80%,9.20%,72
19388,664062,Tony Gonsolin,2022,LAD,28,4.13,1.25,6,5,0.55,20,20,0,0,127,108,58,12,51,134,24.80%,8.90%,64
15423,571760,Andrew Heaney,2022,LAD,31,4.65,1.29,8,8,0.5,20,20,0,0,125,120,65,24,41,133,24.80%,7.60%,72
22815,672715,Luis Patino,2022,TBR,23,4.26,1.29,6,5,0.55,16,16,0,0,112,100,53,14,44,119,24.80%,9.20%,58
14168,621244,Jose Berrios,2022,TOR,28,3.79,1.2,12,9,0.57,29,29,1,0,180,160,76,23,56,187,24.70%,7.20%,84
14916,592351,Jon Gray,2022,TEX,31,4.1,1.25,10,13,0.43,28,28,0,0,165,149,75,24,57,173,24.70%,8.40%,83
13743,608331,Max Fried,2022,ATL,28,3.4,1.14,16,7,0.7,31,31,1,1,185,156,70,17,55,188,24.50%,7.20%,77
15873,640455,Sean Manaea,2022,OAK,30,3.92,1.22,12,10,0.55,28,28,1,1,165,158,72,25,43,171,24.50%,6.20%,79
17085,641154,Pablo Lopez,2022,MIA,26,3.6,1.17,10,9,0.53,23,23,0,0,135,118,54,17,40,138,24.50%,7.20%,59
15454,601713,Nick Pivetta,2022,BOS,29,4.62,1.34,10,8,0.56,27,27,0,0,146,137,75,25,59,154,24.30%,9.20%,83
21390,657746,Joe Ryan,2022,MIN,29,4.03,1.23,8,7,0.53,25,25,0,0,140,124,63,19,48,144,24.30%,7.80%,69
9132,543135,Nathan Eovaldi,2022,BOS,32,3.85,1.22,11,9,0.55,30,30,0,0,171,165,73,22,44,175,24.20%,4.80%,80
11189,592826,Vince Velasquez,2022,CHW,30,5.28,1.43,4,6,0.4,19,19,0,0,109,107,64,17,49,117,24.20%,10.00%,70
15890,622663,Luis Severino,2022,NYY,28,3.72,1.19,6,5,0.55,17,17,0,0,95,80,39,12,33,96,24.20%,8.30%,43
13781,622072,Alex Wood,2022,SFG,31,4.02,1.22,8,6,0.57,21,21,0,0,123,112,55,17,38,125,24.10%,7.60%,61
16269,607644,John Means,2022,BAL,29,3.82,1.15,9,11,0.45,28,28,1,1,170,153,72,32,43,170,24.10%,5.90%,79
2429,446372,Corey Kluber,2022,TBR,36,4.22,1.3,8,7,0.53,18,18,1,1,100,91,47,16,39,104,24.10%,9.20%,52
18331,621076,James Kaprielian,2022,OAK,28,4.19,1.24,3,3,0.5,28,28,0,0,161,143,75,9,57,164,24.00%,8.40%,83
10131,544931,Stephen Strasburg,2022,WSN,34,4.24,1.25,2,2,0.5,16,16,0,0,92,82,43,5,33,94,24.00%,8.50%,47
25385,656876,Drew Rasmussen,2022,TBR,27,4.07,1.24,7,5,0.58,14,14,0,0,129,112,58,15,48,131,24.00%,8.70%,64
6632,471911,Carlos Carrasco,2022,NYM,35,4.36,1.31,5,8,0.38,22,22,0,0,125,119,61,19,45,129,23.90%,7.80%,67
21224,641927,Bailey Ober,2022,MIN,29,4.25,1.28,6,6,0.5,28,28,0,0,153,150,72,21,46,156,23.80%,6.70%,79
16511,656756,Jordan Montgomery,2022,NYY,30,3.85,1.24,8,9,0.47,29,29,0,0,167,155,71,23,52,168,23.70%,7.50%,78
20633,579328,Yusei Kikuchi,2022,TOR,31,4.29,1.31,6,9,0.4,26,26,0,0,150,140,72,21,57,153,23.70%,8.80%,79
17149,593334,Domingo German,2022,NYY,30,4.34,1.25,3,3,0.5,17,17,0,0,112,104,54,9,36,113,23.70%,7.30%,59
6345,502042,Chris Archer,2022,MIN,34,4.57,1.36,4,6,0.4,10,10,0,0,67,64,34,15,27,69,23.60%,9.10%,37
17995,657277,Logan Webb,2022,SFG,26,3.72,1.17,11,8,0.58,30,30,0,0,185,160,76,15,56,180,23.40%,7.60%,84
